全 部,#genre#
贵州卫视（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225675/10000100000000060000000002613889_0.smil
贵州-2 公共频道 （高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225547/10000100000000060000000000625232_0.smil
贵州-3 影视文艺频道（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225890/10000100000000060000000002952761_0.smil
贵州-4 大众生活频道（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225752/10000100000000060000000000695224_0.smil
贵州-5 生态·乡村频道（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225705/10000100000000060000000003088015_0.smil
贵州-6 科教健康频道（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225555/10000100000000060000000000625239_0.smil
贵州-7 经济频道（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225892/10000100000000060000000002952762_0.smil
CCTV-1 综合（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225669/10000100000000060000000002613879_0.smil
CCTV-2 财经（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225671/10000100000000060000000002613880_0.smil
CCTV-3 综艺（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225599/10000100000000060000000001362392_0.smil
CCTV-4 中文国际（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225673/10000100000000060000000002613881_0.smil
CCTV-5 体育（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225601/10000100000000060000000001362589_0.smil
CCTV-6 电影（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225766/10000100000000060000000001362907_0.smil
CCTV-7 国防军事（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225854/10000100000000060000000002613904_0.smil
CCTV-8 电视剧（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225764/10000100000000060000000001362906_0.smil
CCTV-9 纪录（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225663/10000100000000060000000002600886_0.smil
CCTV-10 科教（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225665/10000100000000060000000002600887_0.smil
CCTV-11 戏曲（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225667/10000100000000060000000002600888_0.smil
CCTV-12 社会与法（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225659/10000100000000060000000002600884_0.smil
CCTV-13 新闻（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225838/10000100000000060000000002605408_0.smil
CCTV-14 少儿（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225840/10000100000000060000000002605409_0.smil
CCTV-15 音乐（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225661/10000100000000060000000002600885_0.smil
CCTV-14 少儿（高清）,rtsp://10.11.187.39/PLTV/88888888/224/3221225840/10000100000000060000000002605409_0.smil
CCTV-16 奥林匹克（高清）,https://itv.myxcwh.com:4399/zj/dx/201.192:5140
